sentiment,text,selected_text
positive,i'm feeling higher than mt everest, i'm feeling higher than mt everest
neutral,"@knightgirllinz baaad linz, too... rather... sheesh... text fingers are broked"," @knightgirllinz baaad linz, too... rather... sheesh... text fingers are broked"
positive,@hollabec your hair is my matt ball  &lt;3, your hair is my matt ball &lt;3
positive,greeting again every momma : happy momma's day!, happy momma's day!
positive,two week extension on contract ... i'm ready for it to be done, i'm ready
negative,@helengoytizolo kayla &amp; i went to go visit you but they wouldn't let us in school!, they wouldn't let us in school!
positive,@unitechy @shadez is all mine  #twpp #shadez, is all mine
neutral,@mocitytwit g'mornin, @mocitytwit g'mornin
positive,@beauabroughton shud up! lol my device thing doesn't work, lol my device thing doesn't work
positive,"im stuffed, ive been eating junk all day!"," im stuffed,"
neutral,@wilharris http://tinyurl.com/q3u32x isn't that the podcasting gear you got in for bit-tech?, @wilharris http://tinyurl.com/q3u32x isn't that the podcasting gear you got in for bit-tech?
positive,is off 2 bed. gon force the sandman 2 com do wot he do since it dont look like there's gon be any partyin 2nyt, gon force the sandman 2 com do wot he do since it dont look like there's gon be any partyin 2nyt
positive,party in the beach, party in the beach
neutral,just made 3 videos, just made 3 videos
negative,"@ilovefal b/c &quot;we&quot; only have baby phat, phat farm, applebottoms &amp; fubu!! and they come up pretty weak!! double", weak!!
negative,@tammytrent **left off the &quot;again&quot; in the title...whoops!,whoops!
positive,great day...rode the beach cruisers into town to see culver city antique car show. found my next bike.   http://twitpic.com/4wn71, great day...
negative,@neishanay im gone miss ya'll lol.don laugh@me im serious.its bittersweet. lookin forward 2goin home but cant wait till nx semester!, miss ya'll lol.don laugh@me im serious.its bittersweet.
negative,i'm slightly disturbed by hollyoaks tonight.  i really don't think it's something that should have been shown at 6.30pm..., disturbed
neutral,@gregmike saw that across the street for manuels. fur coats must be in short supply somewhere, @gregmike saw that across the street for manuels. fur coats must be in short supply somewhere
neutral,@brigwyn work mostly, @brigwyn work mostly
positive,is wishing all of the mother's out there a very happy mother's day!! love ya!, happy mother's day!! love ya!
neutral,@babygirlparis dont get trampled on again, @babygirlparis dont get trampled on again
positive,had to take my baby to the vet again today, had to take my baby to the vet again today
neutral,watching h&amp;a! got new photos for myy room  waiting for ulise to get home., watching h&amp;a! got new photos for myy room waiting for ulise to get home.
neutral,@idreamofjeanny chowder is the shit!!!!!!, @idreamofjeanny chowder is the shit!!!!!!
neutral,@denharsh i'm afraid im def. a product of the nri karan johar generation- i've been watching a lot of classics this semester, @denharsh i'm afraid im def. a product of the nri karan johar generation- i've been watching a lot of classics this semester
positive,@ajinyourmouth taking out all my trash   http://twitpic.com/4ja8m, taking out all my trash
neutral,"@greencapt ah!  gotcha.  well, i'm curious to hear what you thought of wolverine then. (if you actually went and saw it)."," @greencapt ah! gotcha. well, i'm curious to hear what you thought of wolverine then. (if you actually went and saw it)."
negative,only four hours and fifteen minutes until three day packing spree!!! ugh work, ugh work
negative,last day in maui, last day in maui
positive,@mixhelle i *heart* elvis, i *heart*
neutral,@marieeeeah yeeaaahh! even though i suck at twittering, @marieeeeah yeeaaahh! even though i suck at twittering
negative,@danwarp http://twitpic.com/4w9w6 - lol you sure love that sushi. you've tweeted many pictures of it., lol you sure love that sushi.
neutral,@limeice obviously it wasnt coz u werent there  pc fixed?, @limeice obviously it wasnt coz u werent there pc fixed?
negative,depressed that i wasn't included in the morcom gardens quiz on facebook, depressed
neutral,@charity_gant popularity contest and they think twitter will help.... and it's become trendy, @charity_gant popularity contest and they think twitter will help.... and it's become trendy
negative,"dear god i'm so sleepy, and it's only 6:30. must be sleep deprived. i even fell asleep sitting up. *groans* i'm i really that old?", must be sleep deprived.
neutral,"@khairul she's unassuming and unpretentious. she's just, as. i suppose that's why she's so endearing--because we can relate to her"," @khairul she's unassuming and unpretentious. she's just, as. i suppose that's why she's so endearing--because we can relate to her"
negative,@cocont123 i don't know how you do it, i don't know how you do it
neutral,"ach i'm back on t'internet, and @lucypaw has to go drive her mate somewhere so is w'out internet"," ach i'm back on t'internet, and @lucypaw has to go drive her mate somewhere so is w'out internet"
neutral,gotta go back out there., gotta go back out there.
negative,http://twitpic.com/665e9 - i miss this place, i miss
negative,@modulista you're in miami right? i don't see a hand delivery in your near future unfortunately, unfortunately
negative,@katieeeian143 you're missing the devil wears prada!!!!! sad..., sad...
neutral,it's too hot. i hate summer  #harrymcflytosing, it's too hot. i hate summer #harrymcflytosing
positive,@craftjoshua i can't!!! my heart aches for her children  i wanna adopt alexis, my heart aches
negative,is going to have one upset daughter  in a bit..mr. rat took a sudden turn for the worse and didn't make it, upset
negative,memphis just can't catch a break these days. my poor tigers, memphis just can't catch a break these days. my poor tigers
positive,"@ljsbaby hahaha...gutted !! it's his birthday soon,so he'll have to wait until then. haha"," hahaha...gutted !! it's his birthday soon,so he'll have to wait until then. haha"
neutral,@mrsmonj ha i dunno! i usually check it during the day and i've only been caught bcz i replied to your tweet, @mrsmonj ha i dunno! i usually check it during the day and i've only been caught bcz i replied to your tweet
negative,i want a new phone  i've seen too much cellphone commercials (, i've seen too much cellphone commercials
negative,i am so mad that glee won't premiere till fall, mad
positive,@vampire_peter let's smoke and watched dazed and confused. that's a perfect pizza movie too, perfect
positive,just had my hair cut it looks like shit, just had my hair cut it looks like shit
neutral,t-bone's gone to sleep... think we're gonna join him, t-bone's gone to sleep... think we're gonna join him
negative,back to salvador. wish i was in sao paulo to see the second concert, wish i was in sao paulo to see the second concert
neutral,@maroonedmarla try this link.  you'll have to watch an ad first though. http://tinyurl.com/4ttngg, @maroonedmarla try this link. you'll have to watch an ad first though. http://tinyurl.com/4ttngg
positive,this is my movie weekend!! i've watched 5 movies so far, this is my movie weekend!!
positive,@arikhanson i think your blog should've been on the list, i think your blog should've been on the list
negative,@aftheawesomeone what's wrong?, what's wrong?
positive,@mikeplante it's already over? damn!, damn!
negative,mom is on her way home  but yay for mother son days! she even bought some new shoes. haha., mom is on her way home but yay for mother son days! she even bought some new shoes. haha.
neutral,and we're back in buisiness, and we're back in buisiness
positive,@pleasebemine australia gets may 4th off! enjoy it, enjoy
negative,waiting for my cell phone to dry out.... it went swimming in bowl of water earlier, waiting for my cell phone to dry out....
neutral,@ellabellcullen3 i can't. i'm on my ipod and it doesn't have im, @ellabellcullen3 i can't. i'm on my ipod and it doesn't have im
negative,@talkmaster you realize you just did @inkspotworkshop a solid. better than a full-page in the ajc., you realize you just did @inkspotworkshop a solid. better than a full-page in the ajc.
negative,"@fawn_s  accept it, you can't do anything, can you?"," you can't do anything,"
negative,"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)&lt;3 in addition,gray matters is one of the cutest movies ever!!", cutest movies ever!!
positive,"@stephaniepratt i love this song lol, you're amazing steph , xoxo"," i love this song lol, you're amazing"
negative,back in durham from greensboro but cook-outs closed.  hmmmm...., closed.
positive,"loves the new mother's day snl digital short, mother lover, oohhhh cornyness", loves
neutral,oops. i'm watching my mom&amp; son sleeping and  ing, oops. i'm watching my mom&amp; son sleeping and ing
negative,"i don't like the heat, as global warming will eventually destroy the earth, and the sun will inevitably eat up our planet,  grim"," i don't like the heat, as global warming will eventually destroy the earth, and the sun will inevitably eat up our planet, grim"
neutral,@greegreece it's the little thing that links us to england, @greegreece it's the little thing that links us to england
neutral,@aminakader my thoughts exactly, @aminakader my thoughts exactly
negative,@drumzonly yay. das tut trotzdem weh., das tut trotzdem weh.
positive,@realwizkhalifa courtney seems like a cool chick &amp; shes pretty, cool chick &amp; shes pretty
positive,@heatherbond i'd love to!!, i'd love
neutral,goddamn bloody stress and shit sending my body haywire, goddamn bloody stress and shit sending my body haywire
neutral,@icethevillain hmmm; somewhat.. i would say more spontaneouz, @icethevillain hmmm; somewhat.. i would say more spontaneouz
positive,naps are so lovely, lovely
neutral,@schittyw0k kill it jasmine! haven't talked to you for ages., @schittyw0k kill it jasmine! haven't talked to you for ages.
neutral,@anaruba i need carseats, @anaruba i need carseats
neutral,@thabillcollecta  yea     i gotta be up at 7:30, @thabillcollecta yea i gotta be up at 7:30
negative,@turnitgrey my computers broken and i broke my laptop so i had to use the phone  ahh still on he cause they fucked up my order., broken and i broke my laptop so i had to use the phone ahh still on he cause they fucked
neutral,@fresa80 i'd so be in vegas but it's on our anniversary....  cant get enough jk!!!, @fresa80 i'd so be in vegas but it's on our anniversary.... cant get enough jk!!!
negative,@alydenisof maybe someone is trying to hack you, hack you
negative,i reaaally need you, i reaaally need you
neutral,rain is moving in from the west. thwarted plans for a wee nap outside, rain is moving in from the west. thwarted plans for a wee nap outside
positive,"the scrubs finale was beautiful, just so so perfect. can't believe they're gonna do another season"," beautiful,"
positive,happy mother's day!!!     gr8 day, happy
neutral,@summersunrays bryan hasn't replied about wingnuts, @summersunrays bryan hasn't replied about wingnuts
positive,lots of other people are very polite tho and ask if they can approach, polite
negative,i'm glad i don't have class on fridays. i need the break! algebra test on wednesday, i'm glad i don't have class on fridays. i need the break!
neutral,"@jackieamodeo weird trigger. you should definitely ask him about them on monday, dude...  shitty."," @jackieamodeo weird trigger. you should definitely ask him about them on monday, dude... shitty."
negative,@mommypages i wish our @cosicols didn't close, i wish our @cosicols didn't close
negative,"@gentlesinner very afriad  i might copy the picture that i just put up... and change it a little, should i?", afriad
negative,@heyheykarla i'm sorry about your car. i feel for you..., i'm sorry
positive,happy mother's day, happy
positive,@jenthegingerkid oh. em. gee. i think that might be it!!! i wonder if i can get it @ a macy's - do you know a/b shipping?  @c2s :x sorry, :x sorry
positive,it's mother's day, it's mother's day
positive,hey @robluketic its back!!    (robluketic live &gt; http://ustre.am/2w5v), hey @robluketic its back!!
negative,trying to calm down kitten.  she is so rowdy., she is so rowdy.
positive,http://twitpic.com/4jaw9 it's the frog who's been attacking chelsey..lol! funny, funny
negative,its weird how thinking about may 2nd totally changed my crappy mood to happiness...i miss @honorsociety so much, its weird how thinking about may 2nd totally changed my crappy mood to happiness...i miss @honorsociety so much
negative,"@nm you're fine - trying to kill off the bots and retweets in a bid to be the least popular person on twitter. btw, who are you ??", least
negative,@ryanodonnell can't you guys do something on co-op about grim fandango? don't you wanna see it on xbla/psn? call tony plana!  call tim!!, can't you guys do something on co-op about grim fandango?
negative,one of my cat's is sick, sick
negative,@birthdaytwin that's depressing, depressing
negative,"every time i pay off my library fine, i get a new one.  i'm a bad patron", bad patron
neutral,better go and put my clothes on guys.. even if p.j's are warm and moveable, better go and put my clothes on guys.. even if p.j's are warm and moveable
negative,watching star trek and next to watch it at the movie theater 'cause the movie is really worth it..., 'cause the movie is really worth it...
neutral,it's freakin' hot and humid today., it's freakin' hot and humid today.
negative,the only way i'll feel safe is when he's finally in jail where his stalker ass belongs!, the only way i'll feel safe is when he's finally in jail where his stalker ass belongs!
positive,@almcheese alms ur tweets r all delicious. haha! since its about foodddd... anyway gatau nih aku mau pindah dr binus, delicious.
positive,@bellarina1983 i haven't got a text back!  sod her i looks fabulous!, fabulous!
negative,soo fucking stressed out...i think i could possibly lose it, soo fucking stressed out...
positive,i'm wondering how big the rumored new 'large screen' kindle will be - http://is.gd/wyfi -and when we can start seeing k12 textbooks on it, i'm wondering
positive,[-o] i wish the birthday massacre would come to australia  i think they said they're thinking about it tho.. http://tinyurl.com/p6lfch, wish
positive,going to watch boy in the striped pj's hope i don't cry, hope i don't cry
negative,just spent an hour doing a dino blog on myspace. i loveeeee dinos! &lt;333 oh and the movie was really funny., i loveeeee dinos! &lt;333 oh and the movie was really funny.
negative,i burnt my finger on the toaster, burnt
negative,@trayzz ... i think i'm gonna fail aswel!, fail
positive,"happy mothers' day to my mom, your mom, his mom and her mom! woot woot.. moms rule!", happy
positive,happy mother's day mom, happy
neutral,has a little buzz from the epoxy paint, has a little buzz from the epoxy paint
positive,i like @catep36 already  (new follower to join in midst of zombies mayhem), like
positive,@alroaker loved the comment on flashcads! i'm old school too!, loved
negative,wtf i just found out that the 20th annual nj state chili cookoff is tomorrow and im gonna miss it, wtf i just found out that the 20th annual nj state chili cookoff is tomorrow and im gonna miss it
positive,@davidarchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform, amazing
positive,@mileycyruuus hi  you are such a babe. want to hang? i love you ! xd, i love you
neutral,took a nap at the beach..., took a nap at the beach...
negative,@mitchelmusso http://twitpic.com/67swx - i wish i was calling you but i can't from malta, i wish i was calling you but i can't from malta
positive,happy mothers' day!, happy mothers' day!
negative,@apachekiller should i worry?, should i worry?
positive,in a drill sergeant's voice: everybody wake the fuck up!!! *flicks on everyone's lights* it's 500 est rise and shine beetches!! lol jk, lol jk
positive,the sun is shining, the sun is shining
positive,friday!! i gotta work tommorow tho, friday!! i gotta work tommorow tho
neutral,"@amj89 until @twitter brings back our everyone button, access pt @ http://twitter.com/public_timeline or link in bottom of settings."," @amj89 until @twitter brings back our everyone button, access pt @ http://twitter.com/public_timeline or link in bottom of settings."
positive,"@missxmarisa hahaha, it's *massive* compared to the others!! you're so sweet scenie", you're so sweet
negative,i've been dead the past 2 days...the flu sucks, sucks
negative,cooking dinner!! its already late!! am making cabbage molagootal for dinner!!, late!!
positive,at the fashion show supporting my allison, supporting my allison
positive,"@alitherunner haha, sorry, it's past my bedtime"," haha, sorry,"
positive,just watched the &quot;final break&quot; final prison break episode. it was great. farewell prison break. you will be dearly missed., it was great.
neutral,my 70-200mm lens hood fell in the #red-sea, my 70-200mm lens hood fell in the #red-sea
negative,can't freakin sleep and i have a horrible stomach ache, horrible stomach ache
neutral,"note to self: don't wear steel toes to the court house, i'm just sayin"," note to self: don't wear steel toes to the court house, i'm just sayin"
positive,"incase i forget, happy mother's day to all you moms out there, and to my mommy. the very best one in the world"," happy mother's day to all you moms out there, and to my mommy. the very best one in the world"
negative,is upset that he didn't get his 24 fix tonight, upset
negative,@frank_urquidez i miss u, i miss
positive,"seriously underrated.. 'porridge', the best breakfast in the world... ever. doesn't need to be gloopy, as long as it is made just right", best
positive,@ritasitalianice cherry italian ice is my fave. i want to get the local ritas on twitter so they'll send out the daily flavors., fave.
negative,i can't studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom, i can't
negative,this day is fkn ugly &amp; it matches my mood  unfortunatly. time 2 blast off 2 the moon, unfortunatly.
positive,its probable bed time. hugs and kisses  &lt;33, hugs and kisses
negative,i'm freezing in math class!, i'm freezing
neutral,@mitchelmusso, @mitchelmusso
positive,"finally, a beautiful, sunny day in atlanta. too bad i'm stuck inside working..."," beautiful,"
negative,"it's the weekend, its sunny..... and i got another puncture!!!", puncture!!!
neutral,my preorder of the razer sphex shipped today. i'll be paying to review it because razer is ignoring my emails, my preorder of the razer sphex shipped today. i'll be paying to review it because razer is ignoring my emails
positive,@mismile you're so cute., you're so cute.
positive,q: what studio created 'open season'? should google it or look at the dvd downstairs but feeling lazy, but feeling lazy
neutral,@angstyrossini lol.  you must be new here, @angstyrossini lol. you must be new here
positive,happy mother's day to all the mothers!!, happy
positive,kill bill pt 2 .....i love em both wish they wold make like three more,i love
positive,congratulation's to phil packer on completing the london marathon  x a shining example to us all x, congratulation's
positive,watchin' jonas, watchin' jonas
positive,"oh ffs :@ a don't get paid till monday :@:@:@ :$. sorry william, gonna have to wait till next weekend till i give you ï¿½  :@", sorry
neutral,awwww look at this motherfucking potus  #nerdprom, awwww look at this motherfucking potus #nerdprom
negative,ugh i'm tired, ugh i'm tired
neutral,http://twitpic.com/4wn21 - one of the presents that i made my mom, http://twitpic.com/4wn21 - one of the presents that i made my mom
negative,jenny fell asleep and didn't come over, didn't come over
positive,@natashabrown brad's face when he saw that gift is priceless!! thnx nat!, priceless!!
positive,found six great vegan places to eat and relax at; four of which i can't get to without a car, great
neutral,"@shakamaiden damn dude... dia 06, 20 e 27 eu tenho curso na drc  flash expert..."," @shakamaiden damn dude... dia 06, 20 e 27 eu tenho curso na drc flash expert..."
negative,"i just had to empty my trash on the mac. that was one of the most difficult things i have ever done in my life. 8,000 pictures are gone.", difficult
positive,pilot to co-pilot baby we burnin' up   /i cannot stress how much this line works., /i cannot stress how much this line works.
neutral,"@paulmorristim cheapest copy of purusha's divine androgyne on amazon, $140."," @paulmorristim cheapest copy of purusha's divine androgyne on amazon, $140."
positive,@mmmj you're watching firepro0f?, @mmmj you're watching firepro0f?
positive,watching chelsea lately!  loveeeee her &lt;3, loveeeee
positive,i'm gonna wear my new purple converse today, i'm gonna wear my new purple converse today
neutral,@siftedbit i'm saving up for a three burner weber for next year, @siftedbit i'm saving up for a three burner weber for next year
negative,would wish the severe migrains would stop!!! doc's prescriptions arent working, arent working
neutral,@dash_cunning i gotta go to my cousin's grad party, @dash_cunning i gotta go to my cousin's grad party
neutral,@asfaq he is on an iphone, @asfaq he is on an iphone
positive,my last full day in ny  but can't wait to go to seattle and la la land, can't wait
negative,facebook is being a bitch, bitch
negative,"rove live in 3 mins, kinda excited.", kinda excited.
neutral,looking for a vibrating phone is like trying to find &quot;a feeling.&quot;, looking for a vibrating phone is like trying to find &quot;a feeling.&quot;
positive,@strandell that was several days ago! it was great though, it was great
positive,never better! i had to follow some local tweeples! it's only right!  @thamissus, never better!
negative,my dad's drunk off his ass. today was successful., my dad's drunk off his ass.
positive,"@sammoran btw, 'nathanfillion' is trying to beat his flight control score as well, maybe you should follow each other?", beat
positive,"guys, follow @ginoboi for the rx twitterwar!!!! dd go ginoooo!!!", dd go ginoooo!!!
neutral,@gabyrizzo i want pho... i've never had it before., @gabyrizzo i want pho... i've never had it before.
negative,@whitpr lol... i've been in bk for over a year... going on 2 and u haven't come yet!!!, u haven't come yet!!!
positive,i'm going to estonia!  woohoo!!, woohoo!!
positive,singstar  after stupid downloads finish ;(, singstar after stupid downloads finish ;(
positive,@aaronlhb you got her a watch? thts sooooo sweet, thts sooooo sweet
neutral,i dont know how in the world this thing works, i dont know how in the world this thing works
negative,@sassij or he's gonna chop you up into tiny bits - one of the two, he's gonna chop you up into tiny bits
negative,@ncreations mbb has been cryopreserved. may return in the future..., cryopreserved.
negative,"@djgraham i think @darkmonkey has found it (http://bit.ly/3pj876 , but i can't play it", but i can't play it
negative,@kpatthethird d; im sowwwy  urgh i feel bad &gt;.&lt; kkkkkkk so should i call you when i get 2 bullschitt?, bad
positive,"@chris_daughtry you should come play in the college town of eau claire, wi.  seriously, you'd have tons of people turn out for it."," seriously, you'd have tons of people turn out for it."
negative,going out on thursdays is a terrible idea. i knew there was a reason i haven't done it all quarter. *pops advil*, terrible idea.
negative,i'm gettin ready for my trip back to ma...  i don't wanna leave!, i don't wanna leave!
negative,"@saucewear btw, your shirts are shipping out!  i ran out of stock on the one size you ordered for the &quot;i am famous&quot; sorry", sorry
positive,@michellevo omgggg!! hawaii!! that's amazing!! i wanna live there, amazing!!
positive,@mylestones at least it's big enough my 20 month old won't find it and swallow it before the 3 yo and i track it down!, at least it's big enough
neutral,just got home after killing a possum, just got home after killing a possum
negative,@chescaaaaaa  yeaaaahh., yeaaaahh.
negative,mel best hurry up back from asda i'm so hungry, i'm so hungry
positive,is excited about so r and r for mother's day, excited
positive,&quot;i love knowledge. i love thinkin. fressshman. fressshman.&quot; pellericious math song, love
negative,@shortstackband grrrrrrrrrrrrrrrrrrrrrrrr, grrrrrrrrrrrrrrrrrrrrrrrr
positive,collabro w/jphlip called &quot;california&quot; was another hot one., was another hot one.
neutral,@sabbypar when next week are you leaving? am off somewhere next week as well., @sabbypar when next week are you leaving? am off somewhere next week as well.
negative,ugg. unpacking sucks, sucks
negative,@lolove and i got hello kitty tattoos!  she's a ballerina and i'm a ladybug, i'm a ladybug
negative,i already hate my tan lines  oh well better get used to them, hate
negative,have $#@&amp;!!! malware on my work pc!  i miss having an it dept, miss
negative,what the hell is follow friday?? don't get it, what the hell
neutral,welcome @maxshrem ! since it seems you're interested in cheese i hardly suggest you to follow @surbir too, welcome @maxshrem ! since it seems you're interested in cheese i hardly suggest you to follow @surbir too
neutral,@homeswapperteam what is the point of your twit on bgt i must be one of the only people you havent found a swap for depite the promises, @homeswapperteam what is the point of your twit on bgt i must be one of the only people you havent found a swap for depite the promises
positive,"@lalalalexi read it! lucky, why are you getting a new phone?"," lucky,"
positive,"oh, but grease is on vh1! it's almost over, though  http://myloc.me/2215"," it's almost over,"
negative,says god please i hope it doesn't brownout...i'm burning my files  http://plurk.com/p/wy5za, burning
positive,is sick. staying home because that's what levy said to do., is sick.
neutral,@terrencej106 how's the fam? well i hope., @terrencej106 how's the fam? well i hope.
positive,"time to nap w/my giant, early birthday present, pooh bear stuffed animal"," time to nap w/my giant, early birthday present, pooh bear stuffed animal"
neutral,@pingpingss &quot;just&quot; - http://tinyurl.com/cuy43t, @pingpingss &quot;just&quot; - http://tinyurl.com/cuy43t
positive,which is why i can't wait till i move out of home and life by myself next year  wacky adventures every day!!!!!, which is why i can't wait
negative,now i'm following you ah ha! love your laff, love your laff
positive,buenos dias mundo de twitter  eating b-fast and watching &quot;sex on fire&quot; video b4 i go to work !, buenos dias mundo de twitter eating b-fast and watching &quot;sex on fire&quot; video b4 i go to work
positive,@mariav_st vaca!! buuu sigo en el work, buuu sigo en el work
negative,extremely busy weekend. so much work to do.  can't wait for summer!!, extremely busy weekend.
negative,@pollybowles don't say that - i really miss my red porsche (sold it 2 yrs ago), miss
negative,ugh. my feet feel like they're going to fall off., ugh.
negative,wife &amp; i split duties tonight.wife headed to osu for daughter's ath trng rcption. i'm at son #1's school paper banquet.can't make both.,can't make both.
positive,"@robpattinson_ i hope filming is going well  i'm new to the whole &quot;twilight phenomenon&quot;, they couldn't have picked a better &quot;vampire&quot;!", i hope
negative,i did it! i finished my first chapter summary on care of souls! pray that i can have the lords understanding! this isn't easy to do!, this isn't easy to do!
negative,@thisisryanross i won't leave you alone until you accept my appology, i won't leave you alone
negative,@tzakshrike and i have a gentleman's agreement: whoever wins the first match (or is it best of three?) pays for the other person's copy., whoever wins the first match (or is it best of three?) pays for the other person's copy.
negative,@alexistai please don't roll your eyes. i can't handle that.  *cries*, i can't handle that.
negative,i'm up way to early today!  work later., i'm up way to early today!
neutral,is it ok to send iflowers to your mom for mother's day trough this iphone app? http://tr.im/kwnx, is it ok to send iflowers to your mom for mother's day trough this iphone app? http://tr.im/kwnx
neutral,@elysion32, @elysion32
negative,my phone is dying ...., dying
negative,whoa. up is sad., sad.
negative,@emmaroo innerchild!sarah likes cookies and is sad that you feel sad and guilty, sad that you feel sad and guilty
negative,damn. i got a math test today., damn.
negative,aww...  pray for the arroyo family everyone!, aww...
negative,my dog is suffering from abandonment issues. she thinks i'm moving without her., suffering from abandonment issues.
negative,downloading chex-quest!  been about 12 years sins it's final release you say? your right!, sins
